ARAMETER ASSIGNMENT,SIGN,O-MSB,O-LSB,WORD,SUBF,SUPF,UNIT,OUT RANGE,OUT RES,ACCURACY
THROTTLE RATE CMD #2,S,12,3,242,0,0,DEG/SEC,+/-16,0.03125,N/A
THROTTLE RATE CMD #1,S,12,3,114,0,0,DEG/SEC,+/-16,0.03125,N/A
THR SERVO MOTOR TACH #2,,12,3,243,0,0,DEG/SEC,0-16,0.015625,N/A
THR SERVO MOTOR TACH #1,,12,3,115,0,0,DEG/SEC,0-16,0.015625,N/A
THR TORQUE #2,S,12,4,244,0,0,IN-OZ,+/-32,0.125,N/A
THR TORQUE #1,S,12,4,116,0,0,IN-OZ,+/-32,0.125,N/A
DISTANCE TO GO (WPT),,7,5,192,1,5,NM,0-7000,1000,
DISTANCE TO GO (WPT),,4,1,192,1,5,NM,0-900,100,
DISTANCE TO GO (WPT),,12,9,192,1,6,NM,0-90,10,
DISTANCE TO GO (WPT),,8,5,192,1,6,NM,0-9,1,
DISTANCE TO GO (WPT),,4,1,192,1,6,NM,0-0.9,0.1,
DESTINATION ETA HOURS,,7,5,192,1,15,HR,0-70,10,
DESTINATION ETA HOURS,,4,1,192,1,15,HR,0-9,1,
DESTINATION ETA MINUTES,,12,9,192,1,16,MIN,0-50,10,
DESTINATION ETA MINUTES,,8,5,192,1,16,MIN,0-9,1,
DESTINATION ETA MINUTES,,4,1,192,1,16,MIN,0-0.9,0.1,
GROSS WEIGHT,,12,1,256,4,14,LBS,0-163840,40,N/A
FMC ALTITUDE SELECTED,,12,1,27,0,0,FT,0-65536,16,50
FMC AIRSPEED SELECTED,,12,2,57,0,0,KT,0-512,0.25,0.5
VERT SPEED CMD,S,12,1,60,0,0,FT/MIN,+/-16384,8,40
FMC MACH SELECTED,,12,1,58,0,0,MACH,0-4.096,0.001,N/A
GMT HRSx10,,12,10,51,4,10,HR,0-70,10,
GMT HRSx1.0,,12,9,51,4,9,HR,0-9,1,
GMT MINx10,,12,9,51,4,8,MIN,0-50,10,
GMT MINx1.0,,12,9,51,4,7,MIN,0-9,1,
GMT MINx0.1,,12,9,51,4,6,MIN,0-0.9,0.1,
RSVD FOR GMT,,12,8,192,1,15,,NA,0,
RSVD FOR GMT,,6,1,51,4,16,,NA,0,
RSVD FOR GMT,,12,7,51,4,16,,NA,0,
FMC STATIC AIR TEMP,S,12,3,206,4,0,DEG C,+/-128,0.25,+/-1
FMC SELECTED TEMP,S,12,3,183,1,0,DEG C,+/-128,0.25,+/-1
DISTANCE TO GO,,12,1,256,4,6,NM,0-4096,1,N/A
FLIGHT NUMBER MSDigit,,11,8,192,1,14,X 1000,0-9,1,
FLIGHT NUMBER LSDigit + 2,,11,8,192,1,13,X 100,0-9,1,
FLIGHT NUMBER LSDigit + 1,,11,8,192,1,12,X 10,0-9,1,
FLIGHT NUMBER LSDigit,,11,8,192,1,11,X 1,0-9,1,
NDB EFFECTIVITY DAY,,7,6,192,3,15,DAYS,0-30,10,
NDB EFFECTIVITY DAY,,5,2,192,3,15,DAYS,0-9,1,
NDB EFFECTIVITY MONTH,,10,10,192,3,16,MON,0-10,10,
NDB EFFECTIVITY MONTH,,11,8,192,3,15,MON,0-1,1,
NDB EFFECTIVITY YEAR,,9,6,192,3,16,YR,0-10,10,
NDB EFFECTIVITY YEAR,,5,2,192,3,16,YR,0-9,1,
TARGET N1 #2,,12,3,239,2,0,%RPM,0-128,0.125,0.015625
TARGET N1 #2,,12,3,239,4,0,%RPM,0-128,0.125,0.015625
TARGET N1 #1,,12,3,111,2,0,%RPM,0-128,0.125,0.015625
