PARAMETER ASSIGNMENT,SIGN,O-MSB,O-LSB,WORD,SUBF,SUPF,UNIT,OUT RANGE,OUT RES,ACCURACY
THROTTLE RATE CMD #2,S,12,3,427,0,0,DEG/SEC ,+/-16,0.03125,N/A
THROTTLE RATE CMD #1,S,12,3,171,0,0,DEG/SEC ,+/-16,0.03125,N/A
THR SERVO MOTOR TACH #2,,12,3,299,0,0,DEG/SEC ,0-16,0.015625,N/A
THR SERVO MOTOR TACH #1,,12,3,43,0,0,DEG/SEC ,0-16,0.015625,N/A
THR TORQUE #2,S,12,4,363,0,0,IN-OZ,+/-32,0.125,N/A
THR TORQUE #1,S,12,4,107,0,0,IN-OZ,+/-32,0.125,N/A
DISTANCE TO GO (WPT),,7,5,496,3,8,NM,0-7000,1000,
DISTANCE TO GO (WPT),,4,1,496,3,8,NM,0-900,100,
DISTANCE TO GO (WPT) - LSD,,12,9,499,4,0,NM,0-90,10,
DISTANCE TO GO (WPT) - LSD,,8,5,499,4,0,NM,0-9,1,
DISTANCE TO GO (WPT) - LSD,,4,1,499,4,0,NM,0-0.9,0.1,
DESTINATION ETA HOURS,,7,5,256,2,3,HR,0-70,10,
DESTINATION ETA HOURS,,4,1,256,2,3,HR,0-9,1,
DESTINATION ETA MINUTES,,12,9,499,2,0,MIN,0-50,10,
DESTINATION ETA MINUTES,,8,5,499,2,0,MIN,0-9,1,
DESTINATION ETA MINUTES,,4,1,499,2,0,MIN,0-0.9,0.1,
GROSS WEIGHT,,12,1,456,1,6,LBS,0-327680,80,N/A
FMC ALTITUDE SELECTED,,12,1,97,0,0,FT,0-65536,16,50
FMC AIRSPEED SELECTED,,12,2,108,0,0,KT,0-512,0.25,0.5
VERT SPEED CMD,S,12,1,60,0,0,FT/MIN,+/-16384,8,40
FMC MACH SELECTED,,12,1,48,0,0,MACH,0-4.096,0.001,N/A
GMT HRSX10,,12,10,496,3,2,HR,0-70,10,
GMT HRSx1.0,,12,9,496,3,1,HR,0-9,1,
GMT MINx10,,12,9,256,2,8,MIN,0-50,10,
GMT MINx1.0,,12,9,256,2,7,MIN,0-9,1,
