PARAMETER ASSIGNMENT,O-MSB,O-LSB,WORD,SUBF,SUPF,ONE LOGIC,ZERO LOGIC
SPARE FMC01 057 17-16,2,1,350,4,0,TBD,TBD
SPARE FMC01 057 12-11,2,1,94,4,0,TBD,TBD
EGPWS BIT 23,2,2,474,0,0,TBD,TBD
EGPWS BIT 22,1,1,474,0,0,TBD,TBD
SPARE ADR 270 29,2,2,238,0,0,NA,NA
SPARE ADR 270 21,2,2,494,0,0,NA,NA
SPARE ADR 270 12,2,2,57,2,0,NA,NA
SPARE ADR 270 12,2,2,57,4,0,NA,NA
FMC MAP CHAR 3,8,2,499,1,4,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 3,8,2,499,1,12,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 2,8,2,499,1,13,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 2,8,2,499,1,5,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 1,8,2,499,1,6,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 1,8,2,499,1,14,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 6,8,2,499,1,1,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 6,8,2,499,1,9,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 5,8,2,499,1,2,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 5,8,2,499,1,10,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 4,8,2,499,1,3,ISO #5 CODE,ISO #5 CODE
FMC MAP CHAR 4,8,2,499,1,11,ISO #5 CODE,ISO #5 CODE
PROV SPARE - FMC MAP CHAR 8,8,2,499,1,7,TBD,TBD
PROV SPARE - FMC MAP CHAR 7,8,2,499,1,8,TBD,TBD
AUTO SLAT ENABLE - RT,11,11,453,0,0,ENABLE,ENABLE
ORIGIN CHARACTER #3,7,1,61,3,8,CODED,CODED
ORIGIN CHARACTER #2,7,1,61,3,9,CODED,CODED
ORIGIN CHARACTER #1,7,1,61,3,10,CODED,CODED
DESTINATION CHAR #1,7,1,61,3,14,CODED,CODED
ORIGIN CHARACTER #4,7,1,61,3,7,CODED,CODED
DESTINATION CHAR #4,7,1,61,3,11,CODED,CODED
DESTINATION CHAR #3,7,1,61,3,12,CODED,CODED
DESTINATION CHAR #2,7,1,61,3,13,CODED,CODED
FLT NUMBER CHAR #2,7,1,256,2,7,CODED,CODED
FLT NUMBER CHAR #1,7,1,256,2,6,CODED,CODED
FLT NUMBER CHAR #4,7,1,496,3,1,CODED,CODED
FLT NUMBER CHAR #3,7,1,256,2,8,CODED,CODED
FLT NUMBER CHAR #6,7,1,496,3,3,CODED,CODED
FLT NUMBER CHAR #5,7,1,496,3,2,CODED,CODED
FLT NUMBER CHAR #8,7,1,496,3,5,CODED,CODED
FLT NUMBER CHAR #7,7,1,496,3,4,CODED,CODED
N1 LIMIT MODE,4,1,481,0,0,CODED,CODED
CN1 ACCELEROMETER SOURCE,3,2,62,0,0,CODED,CODED
CN1 ACCELEROMETER SOURCE,3,2,318,0,0,CODED,CODED
CN2 ACCELEROMETER SOURCE,3,2,63,0,0,CODED,CODED
CN2 ACCELEROMETER SOURCE,3,2,319,0,0,CODED,CODED
TN1 ACCELEROMETER SOURCE,3,2,320,0,0,CODED,CODED
TN1 ACCELEROMETER SOURCE,3,2,64,0,0,CODED,CODED
TN2 ACCELEROMETER SOURCE,3,2,321,0,0,CODED,CODED
TN2 ACCELEROMETER SOURCE,3,2,65,0,0,CODED,CODED
FAN IMB ACCEL SOURCE - R,3,2,342,0,0,CODED,CODED
FAN IMB ACCEL SOURCE - L,3,2,86,0,0,CODED,CODED
LPT IMB ACCEL SOURCE - L,3,2,214,0,0,CODED,CODED
LPT IMB ACCEL SOURCE - R,3,2,470,0,0,CODED,CODED
RAAS BIT 29,12,12,384,0,0,CODED,CODED
RAAS - MSD - BITS 28-17,12,1,385,0,0,CODED,CODED
RAAS - LSD - BITS 16-9,11,4,384,0,0,CODED,CODED
PRE WINDSHEAR,2,1,21,0,0,CODED,CODED
PRE WINDSHEAR,2,1,277,0,0,CODED,CODED
ILS/MLS/GLS MODE SEL - L,8,5,246,0,0,CODED,CODED
MLS ANTENNA SOURCE - L,2,1,225,2,0,CODED,CODED
DATA BROADCAST MODE - L,12,11,220,0,0,CODED,CODED
GNSS MODE - L,10,9,220,0,0,CODED,CODED
GLS MODE - L,8,7,220,0,0,CODED,CODED
MLS MODE - L,6,5,220,0,0,CODED,CODED
ILS MODE - MMR-L,4,3,220,0,0,CODED,CODED
N1 LIMIT MODE CMD,7,5,481,0,0,CODED,CODED
ILS/MLS/GLS MODE SEL - R,8,5,502,0,0,CODED,CODED
MLS ANTENNA SOURCE - R,2,1,225,4,0,CODED,CODED
DATA BROADCAST MODE - R,12,11,476,0,0,CODED,CODED
GNSS MODE - R,10,9,476,0,0,CODED,CODED
GLS MODE - R,8,7,476,0,0,CODED,CODED
MLS MODE - R,6,5,476,0,0,CODED,CODED
ILS MODE - R,4,3,476,0,0,CODED,CODED
AIRPLANE TYPE - SMYDC,8,6,456,1,7,CODED,CODED
FMC SELECTED PRIMARY NAV SOURCE,12,5,284,0,0,CODED,CODED
DME DISPLAY BIT - R,2,2,443,0,0,CODED,CODED
DME MODE BIT 13 - R,2,2,442,0,0,CODED,CODED
DME MODE BIT 12 - R,1,1,442,0,0,CODED,CODED
DME MODE BIT 11 - R,1,1,443,0,0,CODED,CODED
LIGHT OFF REF/STATUS #2,2,1,313,3,0,CODED,CODED
STALL MODE STATUS #2,4,3,350,4,0,CODED,CODED
ENGINE PANEL MODE #2,4,1,350,3,0,CODED,CODED
SPEED REG #2,7,4,381,2,0,CODED,CODED
SPEED REG #2,7,4,381,4,0,CODED,CODED
LIGHT OFF REF/STATUS #1,2,1,57,3,0,CODED,CODED
STALL MODE STATUS #1,4,3,94,4,0,CODED,CODED
ENGINE PANEL MODE #1,4,1,94,3,0,CODED,CODED
SPEED REG #1,7,4,125,2,0,CODED,CODED
SPEED REG #1,7,4,125,4,0,CODED,CODED
LOB DU FORMAT,12,7,197,1,0,CODED,CODED
LIB DU FORMAT,6,1,197,1,0,CODED,CODED
CU DU FORMAT,12,7,197,2,0,CODED,CODED
CU DU FORMAT,12,7,197,4,0,CODED,CODED
ROB DU FORMAT,12,7,197,3,0,CODED,CODED
RIB DU FORMAT,6,1,197,3,0,CODED,CODED
CL DU FORMAT,6,1,197,2,0,CODED,CODED
ENG A/P TYPE CODE #1,12,10,256,2,1,CODED,CODED
N1 TRIM #1,12,10,496,2,0,CODED,CODED
ENGINE RATING #1,4,1,256,2,1,CODED,CODED
RANGE SELECT F/O,12,4,225,4,0,CODED,CODED
RANGE SELECT CAPT,12,4,225,2,0,CODED,CODED
ENG A/P TYPE CODE #2,12,10,256,2,2,CODED,CODED
N1 TRIM #2,9,7,496,2,0,CODED,CODED
ENGINE RATING #2,4,1,256,2,2,CODED,CODED
ENG POSITION CODE #1,2,1,257,4,8,CODED,CODED
DISPLAYED APP SOURCE - F/O,3,1,502,0,0,CODED,CODED
DISPLAYED APP SOURCE - CAPT,3,1,246,0,0,CODED,CODED
ENG POSITION CODE #2,2,1,456,1,1,CODED,CODED
